ram,battery_power,storage,rear_camera_mp,front_camera_mp,screen_size,processor_speed,refresh_rate,has_5g,brand_level,price_category
12,5038,256,172,54,6.6,3.2,144,1,3,Flagship Phone
11,4629,128,97,21,6.7,2.8,120,1,3,Premium Phone
5,5313,64,56,16,6.3,2.5,60,0,2,Mid-Range Phone
4,4793,128,63,9,6.1,2.2,60,1,1,Mid-Range Phone
2,3444,64,13,7,5.7,1.6,60,0,1,Budget Phone
8,4656,64,42,12,6.2,2.4,90,0,2,Mid-Range Phone
13,5241,256,130,48,6.8,3.4,144,1,2,Flagship Phone
10,5215,128,99,26,6.5,3.1,90,1,2,Premium Phone
5,4336,128,46,14,6.0,2.2,60,1,2,Mid-Range Phone
16,5934,256,143,55,6.9,3.1,120,1,3,Flagship Phone
4,3734,64,12,7,5.8,1.8,60,0,1,Budget Phone
4,3612,64,11,7,5.6,1.5,60,0,1,Budget Phone
8,4667,64,27,12,6.5,2.4,60,0,2,Mid-Range Phone
4,3655,32,13,5,5.9,1.7,60,0,1,Budget Phone
10,4840,256,61,21,6.5,2.9,90,0,2,Premium Phone
2,4127,64,14,6,5.7,1.9,60,1,2,Budget Phone
10,4836,256,96,21,6.6,2.8,120,0,2,Premium Phone
8,5424,128,92,30,6.6,3.1,90,1,3,Premium Phone
16,5613,256,120,60,6.6,3.3,144,1,3,Flagship Phone
15,5122,256,68,60,6.7,3.3,144,1,3,Flagship Phone
13,5456,512,98,54,6.7,3.2,144,1,3,Flagship Phone
12,5542,512,127,53,6.9,3.6,144,1,2,Flagship Phone
5,5122,64,36,15,6.4,2.5,90,0,1,Mid-Range Phone
8,5057,256,64,26,6.5,3.0,90,1,2,Premium Phone
4,4012,64,15,5,6.0,1.7,60,0,1,Budget Phone
12,4940,512,152,47,6.7,3.6,144,1,3,Flagship Phone
8,5305,128,75,28,6.7,2.8,120,1,2,Premium Phone
13,4868,512,116,36,6.7,3.4,144,1,3,Flagship Phone
2,4021,32,15,5,6.0,1.5,60,0,1,Budget Phone
2,3633,64,14,8,5.6,1.7,60,0,1,Budget Phone
12,5053,256,59,25,6.4,2.7,120,0,3,Premium Phone
2,3217,64,11,6,6.1,2.0,60,0,1,Budget Phone
6,4030,64,31,9,6.6,2.4,60,0,1,Mid-Range Phone
14,5804,256,186,42,6.5,3.4,144,1,3,Flagship Phone
15,5681,512,68,46,6.6,3.4,144,1,3,Flagship Phone
15,5903,512,143,54,6.6,3.6,144,1,3,Flagship Phone
7,4714,128,35,13,6.1,2.4,60,1,2,Mid-Range Phone
16,5390,512,106,39,6.8,3.2,120,1,2,Flagship Phone
7,4200,128,34,10,6.5,2.2,60,1,1,Mid-Range Phone
4,3004,32,11,6,6.1,1.4,60,0,2,Budget Phone
10,4943,256,88,22,6.6,2.6,120,1,2,Premium Phone
8,5354,128,51,28,6.7,3.0,120,1,2,Premium Phone
2,3866,64,15,8,6.1,1.4,60,0,1,Budget Phone
12,5949,512,107,33,6.9,3.3,120,1,3,Flagship Phone
4,5178,128,63,16,6.2,2.0,60,1,1,Mid-Range Phone
3,4325,32,11,6,5.8,1.7,60,0,2,Budget Phone
16,5233,256,133,44,6.8,3.0,144,1,3,Flagship Phone
11,5130,256,79,18,6.4,2.7,90,1,2,Premium Phone
9,4542,128,74,25,6.7,3.0,120,0,3,Premium Phone
6,4256,64,55,14,6.5,2.3,90,1,2,Mid-Range Phone
6,4910,128,50,12,6.0,2.2,90,1,2,Mid-Range Phone
15,5070,512,143,40,6.9,3.1,120,1,3,Flagship Phone
12,5725,256,78,43,6.9,3.3,120,1,3,Flagship Phone
8,4653,128,83,23,6.6,2.7,120,1,2,Premium Phone
7,5043,128,40,9,6.1,2.2,60,0,1,Mid-Range Phone
10,5162,256,70,28,6.6,2.8,120,1,2,Premium Phone
9,4578,256,70,20,6.7,3.2,120,1,3,Premium Phone
8,4725,128,64,12,6.3,2.4,90,0,2,Mid-Range Phone
11,4728,128,83,25,6.5,2.7,90,1,2,Premium Phone
12,4690,256,56,20,6.7,3.0,90,1,3,Premium Phone
4,5444,64,34,14,6.4,2.5,60,1,2,Mid-Range Phone
8,4702,64,44,10,6.0,2.1,90,0,1,Mid-Range Phone
13,5443,256,80,57,6.8,3.4,144,1,3,Flagship Phone
4,4124,64,59,8,6.0,2.4,90,0,2,Mid-Range Phone
12,4616,256,65,32,6.5,3.1,120,1,2,Premium Phone
2,4015,32,9,5,6.2,1.4,60,0,2,Budget Phone
14,5686,512,115,49,6.6,3.5,120,1,3,Flagship Phone
6,4839,128,56,8,6.3,2.5,60,1,1,Mid-Range Phone
8,4368,64,38,16,6.4,2.2,60,0,2,Mid-Range Phone
2,3456,32,9,6,6.0,1.6,60,0,1,Budget Phone
14,5479,512,134,56,6.5,3.4,144,1,3,Flagship Phone
8,4074,128,48,10,6.5,2.5,90,0,2,Mid-Range Phone
13,5591,512,200,43,6.5,3.1,144,1,3,Flagship Phone
16,5937,256,198,34,6.6,3.6,144,1,3,Flagship Phone
15,4824,256,147,48,6.9,3.2,120,1,2,Flagship Phone
2,3036,32,8,7,6.0,2.0,60,1,1,Budget Phone
3,3454,32,12,6,5.5,1.9,60,1,1,Budget Phone
10,5411,128,104,22,6.6,2.7,90,1,3,Premium Phone
2,3019,32,8,6,5.7,2.0,60,0,1,Budget Phone
12,4775,128,96,17,6.6,2.7,90,1,2,Premium Phone
11,5060,256,102,26,6.5,2.8,90,1,2,Premium Phone
4,3878,64,15,6,6.0,1.9,60,0,1,Budget Phone
11,5058,256,101,21,6.5,3.0,90,1,3,Premium Phone
13,5706,256,119,46,6.9,3.2,120,1,3,Flagship Phone
5,4121,64,50,10,6.3,2.2,90,1,1,Mid-Range Phone
3,4092,64,10,5,6.0,1.8,60,0,1,Budget Phone
2,3356,32,15,8,5.7,1.6,60,1,2,Budget Phone
5,5035,64,17,13,6.3,2.5,60,1,2,Mid-Range Phone
2,3996,32,9,6,6.0,1.9,60,0,1,Budget Phone
14,5452,512,66,41,7.0,3.6,120,1,2,Flagship Phone
3,3537,32,10,5,6.0,1.8,60,1,2,Budget Phone
8,4949,128,98,28,6.8,2.7,120,0,3,Premium Phone
8,5148,256,50,17,6.8,2.9,120,1,3,Premium Phone
8,4656,128,70,31,6.7,2.7,90,1,3,Premium Phone
2,3768,64,14,5,5.9,1.7,60,0,1,Budget Phone
14,5592,512,123,44,6.9,3.3,120,1,2,Flagship Phone
3,3143,64,12,5,6.0,1.8,60,0,1,Budget Phone
16,4997,256,95,47,7.0,3.3,144,1,3,Flagship Phone
5,5146,64,25,8,6.4,2.5,60,1,1,Mid-Range Phone
12,4732,128,84,29,6.4,3.0,120,1,2,Premium Phone
8,4940,64,32,13,6.4,2.5,90,0,2,Mid-Range Phone
7,4321,64,62,15,6.4,2.1,90,0,2,Mid-Range Phone
10,5411,256,62,32,6.7,3.2,90,0,3,Premium Phone
11,4714,128,103,17,6.4,3.2,120,0,2,Premium Phone
4,3400,32,12,5,6.0,1.6,60,1,1,Budget Phone
11,5462,256,83,21,6.6,2.8,90,1,2,Premium Phone
8,4112,64,34,11,6.4,2.0,60,1,1,Mid-Range Phone
3,4277,64,14,8,5.9,1.9,60,0,1,Budget Phone
4,4139,32,10,6,5.6,2.0,60,0,1,Budget Phone
16,5129,256,69,47,6.5,3.1,120,1,3,Flagship Phone
14,5429,256,140,46,6.9,3.2,120,1,2,Flagship Phone
2,3872,64,16,7,5.9,1.8,60,0,2,Budget Phone
11,5274,128,69,18,6.5,2.9,90,0,3,Premium Phone
13,5790,512,104,41,6.8,3.1,144,1,3,Flagship Phone
12,5169,128,89,28,6.4,2.8,120,1,2,Premium Phone
12,5869,512,130,46,7.0,3.2,144,1,2,Flagship Phone
12,4629,256,77,21,6.5,3.2,120,1,3,Premium Phone
2,3851,32,10,5,5.5,1.8,60,0,1,Budget Phone
12,5492,256,90,17,6.7,3.2,90,1,3,Premium Phone
12,4923,256,101,21,6.6,2.9,120,0,3,Premium Phone
8,4619,256,78,30,6.5,3.0,90,1,3,Premium Phone
13,5303,512,92,42,6.6,3.1,120,1,3,Flagship Phone
14,5801,512,114,41,7.0,3.5,120,1,2,Flagship Phone
9,5309,256,81,26,6.7,2.8,120,1,3,Premium Phone
7,4760,64,33,8,6.5,2.2,60,1,2,Mid-Range Phone
9,5283,256,90,18,6.5,3.0,90,1,2,Premium Phone
12,5010,256,92,47,6.8,3.3,144,1,3,Flagship Phone
3,3977,64,11,6,5.6,1.7,60,0,2,Budget Phone
8,4912,128,58,27,6.5,2.9,120,1,3,Premium Phone
4,3616,32,9,7,5.6,2.0,60,0,1,Budget Phone
12,4686,256,92,28,6.6,2.9,120,0,3,Premium Phone
7,4775,64,56,12,6.4,2.4,60,0,1,Mid-Range Phone
12,5415,512,120,53,6.6,3.4,144,1,2,Flagship Phone
14,5710,256,181,53,6.7,3.5,120,1,3,Flagship Phone
12,5773,256,140,32,6.9,3.0,120,1,3,Flagship Phone
16,5194,512,70,54,6.6,3.0,120,1,3,Flagship Phone
2,3850,64,11,6,5.9,1.8,60,0,1,Budget Phone
6,4631,64,40,11,6.6,2.3,60,0,2,Mid-Range Phone
8,5487,256,96,18,6.4,2.9,90,1,2,Premium Phone
2,3245,64,16,7,5.8,1.7,60,0,1,Budget Phone
2,3396,64,14,5,6.0,1.6,60,0,1,Budget Phone
10,5098,256,87,16,6.5,2.7,120,0,2,Premium Phone
4,4637,64,19,14,6.1,2.4,60,0,2,Mid-Range Phone
3,4126,64,13,7,6.1,1.8,60,0,1,Budget Phone
16,5887,256,166,54,6.6,3.3,120,1,3,Flagship Phone
11,5402,128,86,24,6.6,3.1,90,1,3,Premium Phone
13,5797,256,149,40,6.7,3.2,120,1,3,Flagship Phone
8,4612,128,44,16,6.4,2.3,90,0,1,Mid-Range Phone
11,5247,256,60,22,6.6,3.2,90,1,2,Premium Phone
5,4659,128,47,11,6.4,2.3,60,1,1,Mid-Range Phone
13,4928,512,105,41,6.5,3.5,120,1,3,Flagship Phone
10,5077,256,74,31,6.5,3.0,120,0,2,Premium Phone
6,4058,64,41,14,6.2,2.3,60,0,2,Mid-Range Phone
7,5440,64,32,12,6.2,2.4,90,0,2,Mid-Range Phone
3,3961,64,14,6,6.1,1.9,60,0,1,Budget Phone
8,4781,256,86,25,6.5,2.9,90,1,2,Premium Phone
4,3822,32,10,8,5.7,1.6,60,0,2,Budget Phone
8,4159,128,25,15,6.6,2.4,90,1,1,Mid-Range Phone
12,5052,128,103,16,6.5,3.0,120,1,3,Premium Phone
16,5056,256,158,38,6.6,3.0,120,1,3,Flagship Phone
3,3927,64,14,5,6.0,1.8,60,0,2,Budget Phone
4,3268,64,13,6,5.9,2.0,60,1,1,Budget Phone
9,5227,256,87,27,6.8,2.9,90,0,3,Premium Phone
4,4164,128,23,16,6.2,2.5,90,1,2,Mid-Range Phone
6,4908,128,52,8,6.3,2.4,90,1,2,Mid-Range Phone
2,3935,32,12,8,5.9,1.4,60,0,1,Budget Phone
9,4879,256,68,22,6.7,2.8,120,0,2,Premium Phone
12,5471,256,117,55,6.5,3.6,144,1,3,Flagship Phone
2,3690,32,11,7,6.0,1.6,60,0,2,Budget Phone
8,4294,64,20,11,6.6,2.2,90,1,1,Mid-Range Phone
4,4008,32,12,8,6.1,1.8,60,0,2,Budget Phone
15,5110,512,107,47,6.5,3.4,120,1,3,Flagship Phone
8,5407,64,18,8,6.4,2.3,90,1,2,Mid-Range Phone
7,4340,64,16,13,6.0,2.3,60,0,2,Mid-Range Phone
15,5439,512,64,38,6.5,3.5,144,1,2,Flagship Phone
10,5389,256,89,30,6.7,2.9,120,1,3,Premium Phone
8,5181,128,59,25,6.6,3.1,120,1,2,Premium Phone
9,5357,128,54,19,6.7,2.9,90,1,3,Premium Phone
6,4702,128,64,11,6.0,2.1,60,0,1,Mid-Range Phone
8,5111,128,28,12,6.2,2.3,60,0,1,Mid-Range Phone
12,5593,512,199,43,6.9,3.2,144,1,3,Flagship Phone
4,4646,64,61,8,6.6,2.4,90,1,2,Mid-Range Phone
6,4818,128,30,8,6.3,2.5,60,0,2,Mid-Range Phone
12,5119,256,73,18,6.7,2.7,90,1,3,Premium Phone
11,4668,256,108,31,6.8,3.2,120,1,2,Premium Phone
9,5165,256,64,17,6.6,3.0,120,1,3,Premium Phone
4,3264,32,15,6,5.8,1.6,60,0,2,Budget Phone
4,4072,64,12,5,5.5,1.9,60,0,1,Budget Phone
3,3283,64,11,6,6.1,1.8,60,0,1,Budget Phone
4,3604,32,11,6,5.6,1.8,60,0,1,Budget Phone
4,4115,128,16,15,6.4,2.2,60,1,1,Mid-Range Phone
3,3046,32,9,7,6.1,1.5,60,0,1,Budget Phone
16,4914,512,106,60,6.7,3.1,144,1,2,Flagship Phone
10,5227,128,79,22,6.5,2.9,90,0,3,Premium Phone
4,3800,32,16,6,5.5,2.0,60,0,1,Budget Phone
10,4835,256,75,26,6.4,2.8,120,0,3,Premium Phone
8,4543,128,56,28,6.6,2.9,120,1,3,Premium Phone
16,5232,256,117,32,6.9,3.1,144,1,3,Flagship Phone
11,5082,256,63,22,6.6,3.0,120,1,2,Premium Phone
8,4620,128,92,16,6.5,3.1,120,1,2,Premium Phone
11,4837,256,78,18,6.7,3.1,120,1,2,Premium Phone
16,5911,512,122,35,6.8,3.3,144,1,2,Flagship Phone
6,5137,64,34,11,6.5,2.4,60,1,1,Mid-Range Phone
16,5099,512,194,45,6.7,3.3,144,1,3,Flagship Phone
5,5346,128,19,11,6.4,2.2,90,1,1,Mid-Range Phone
14,5913,512,124,51,6.9,3.4,120,1,3,Flagship Phone
4,3653,32,13,7,6.2,1.5,60,0,1,Budget Phone
11,4746,256,56,23,6.8,3.1,120,0,2,Premium Phone
4,5313,128,56,16,6.2,2.2,60,0,1,Mid-Range Phone
13,5787,256,141,32,6.8,3.5,144,1,3,Flagship Phone
9,5384,256,83,31,6.8,3.0,120,1,2,Premium Phone
13,5903,256,132,52,6.7,3.2,120,1,3,Flagship Phone
10,5223,256,61,20,6.4,2.8,120,1,2,Premium Phone
16,4986,256,132,43,6.8,3.3,120,1,3,Flagship Phone
4,4440,32,13,8,5.5,1.7,60,0,1,Budget Phone
14,5846,256,108,52,6.7,3.6,120,1,3,Flagship Phone
10,4555,256,101,18,6.5,3.0,90,1,2,Premium Phone
10,4639,256,106,17,6.6,2.9,90,1,3,Premium Phone
14,5476,256,79,38,6.7,3.5,144,1,3,Flagship Phone
3,4346,32,15,6,5.9,1.6,60,0,1,Budget Phone
3,3127,32,10,8,6.1,1.7,60,0,1,Budget Phone
8,5329,128,96,18,6.8,2.7,120,0,3,Premium Phone
2,3515,64,15,5,6.2,1.6,60,0,1,Budget Phone
2,4056,32,15,7,6.0,1.5,60,0,1,Budget Phone
8,4187,64,46,13,6.2,2.4,60,0,1,Mid-Range Phone
15,5625,512,157,55,6.8,3.5,120,1,3,Flagship Phone
3,4122,64,11,6,5.5,1.9,60,0,2,Budget Phone
4,5239,64,33,9,6.4,2.4,90,0,2,Mid-Range Phone
12,5234,128,106,32,6.4,2.7,120,1,3,Premium Phone
12,5512,256,91,50,6.8,3.1,144,1,2,Flagship Phone
11,5289,256,55,19,6.5,2.7,90,1,2,Premium Phone
14,5263,512,178,47,6.9,3.2,120,1,3,Flagship Phone
12,5483,256,84,22,6.5,3.2,90,0,2,Premium Phone
12,5513,256,103,51,6.7,3.4,120,1,3,Flagship Phone
6,4780,128,31,13,6.5,2.1,60,0,1,Mid-Range Phone
4,4470,128,50,10,6.0,2.2,60,0,1,Mid-Range Phone
16,5258,256,88,40,6.9,3.5,144,1,3,Flagship Phone
6,5464,64,16,13,6.1,2.1,90,0,1,Mid-Range Phone
12,4867,128,82,22,6.6,3.2,120,1,2,Premium Phone
3,3216,32,10,5,5.5,1.7,60,0,1,Budget Phone
12,5241,512,149,44,6.6,3.6,144,1,3,Flagship Phone
3,3034,32,8,6,5.8,1.8,60,0,1,Budget Phone
7,5022,64,54,10,6.5,2.5,60,1,2,Mid-Range Phone
4,3160,64,11,7,5.9,1.5,60,0,1,Budget Phone
4,3815,32,15,6,5.7,1.8,60,0,1,Budget Phone
7,4447,64,26,15,6.2,2.1,90,0,2,Mid-Range Phone
12,5786,256,124,35,6.9,3.0,144,1,2,Flagship Phone
7,5227,128,29,11,6.5,2.6,60,1,2,Mid-Range Phone
9,5388,256,81,21,6.5,3.0,90,1,2,Premium Phone
3,3257,32,10,6,6.0,1.7,60,0,1,Budget Phone
14,5800,256,129,59,6.9,3.6,120,1,2,Flagship Phone
4,3225,64,15,5,5.9,2.0,60,0,1,Budget Phone
14,5365,256,193,56,6.6,3.1,144,1,3,Flagship Phone
6,5303,64,59,14,6.6,2.6,60,1,1,Mid-Range Phone
11,4963,256,78,17,6.6,2.7,90,1,2,Premium Phone
9,5185,256,102,19,6.8,2.9,120,1,2,Premium Phone
11,4578,256,53,28,6.4,2.8,90,0,3,Premium Phone
4,4695,64,38,16,6.5,2.2,60,1,1,Mid-Range Phone
9,5194,256,88,27,6.4,2.9,90,1,2,Premium Phone
4,4182,64,57,10,6.4,2.2,60,1,1,Mid-Range Phone
14,5968,512,140,60,6.6,3.0,144,1,2,Flagship Phone
4,4146,64,18,14,6.2,2.1,60,1,2,Mid-Range Phone
3,4020,64,13,7,6.1,1.6,60,1,1,Budget Phone
2,3717,64,16,7,5.6,1.7,60,1,2,Budget Phone
2,4306,64,14,5,5.8,1.8,60,0,2,Budget Phone
4,5301,128,49,14,6.4,2.1,60,1,1,Mid-Range Phone
7,4576,64,62,12,6.1,2.5,60,1,1,Mid-Range Phone
2,3517,32,9,8,5.7,1.5,60,0,1,Budget Phone
8,4484,128,19,10,6.6,2.2,60,1,2,Mid-Range Phone
2,3833,64,16,5,6.1,1.5,60,0,1,Budget Phone
10,5374,256,60,28,6.7,2.9,90,1,3,Premium Phone
4,3606,64,11,7,6.1,1.7,60,0,1,Budget Phone
5,5254,128,29,10,6.4,2.4,60,1,1,Mid-Range Phone
2,3791,32,10,6,5.5,1.8,60,0,1,Budget Phone
2,4077,64,10,7,5.7,1.6,60,0,2,Budget Phone
15,5338,256,132,49,6.7,3.1,120,1,2,Flagship Phone
14,5436,256,153,45,6.6,3.5,120,1,2,Flagship Phone
13,5989,256,129,40,6.7,3.5,144,1,3,Flagship Phone
3,3685,64,13,6,5.7,1.6,60,0,1,Budget Phone
14,5043,512,200,59,6.6,3.3,120,1,3,Flagship Phone
9,4995,256,99,18,6.5,3.0,90,1,3,Premium Phone
8,5156,256,63,22,6.6,3.1,90,1,2,Premium Phone
5,5494,64,32,8,6.1,2.5,90,1,2,Mid-Range Phone
16,4811,512,183,34,6.9,3.4,144,1,3,Flagship Phone
14,5115,512,86,54,7.0,3.6,120,1,3,Flagship Phone
7,5053,128,53,12,6.4,2.2,60,1,2,Mid-Range Phone
6,5313,128,55,10,6.6,2.1,60,1,1,Mid-Range Phone
4,4162,64,26,12,6.6,2.3,90,0,1,Mid-Range Phone
15,5737,256,138,42,6.8,3.2,144,1,2,Flagship Phone
6,4645,64,40,15,6.5,2.2,90,1,1,Mid-Range Phone
12,5608,256,188,42,6.6,3.4,120,1,3,Flagship Phone
6,4244,64,56,13,6.4,2.3,90,0,1,Mid-Range Phone
10,5211,128,77,25,6.8,2.9,120,1,2,Premium Phone
14,5882,512,169,48,6.6,3.1,144,1,3,Flagship Phone
7,5426,128,37,13,6.2,2.4,60,0,2,Mid-Range Phone
8,5310,256,62,21,6.8,2.8,90,1,3,Premium Phone
12,5108,128,65,16,6.6,2.9,90,1,3,Premium Phone
15,5155,256,108,39,6.7,3.4,144,1,3,Flagship Phone
3,3190,32,11,8,5.6,2.0,60,1,1,Budget Phone
12,4817,128,83,27,6.8,2.7,120,1,2,Premium Phone
2,3827,32,13,8,5.7,1.8,60,0,1,Budget Phone
8,5060,256,51,18,6.7,3.1,90,1,3,Premium Phone
10,5108,128,103,21,6.5,3.0,120,0,2,Premium Phone
6,4761,64,45,12,6.4,2.2,60,0,1,Mid-Range Phone
12,5597,256,101,60,6.7,3.2,144,1,3,Flagship Phone
4,4365,32,12,8,6.0,1.5,60,1,1,Budget Phone
7,4603,64,60,11,6.4,2.0,90,1,2,Mid-Range Phone
15,5248,512,68,60,6.6,3.6,120,1,3,Flagship Phone
7,4835,128,44,12,6.5,2.5,90,0,1,Mid-Range Phone
5,4902,64,38,10,6.3,2.1,60,1,2,Mid-Range Phone
8,4783,128,81,28,6.5,2.8,90,0,2,Premium Phone
7,4436,64,54,8,6.4,2.3,90,0,1,Mid-Range Phone
7,5150,64,42,9,6.5,2.2,60,0,1,Mid-Range Phone
15,5182,256,145,38,7.0,3.2,144,1,3,Flagship Phone
3,4243,64,15,6,5.6,1.8,60,1,1,Budget Phone
14,5619,256,152,60,6.7,3.1,120,1,3,Flagship Phone
6,4736,128,60,16,6.5,2.5,60,0,2,Mid-Range Phone
4,3574,32,12,7,6.2,1.8,60,0,1,Budget Phone
7,4272,64,58,13,6.4,2.2,90,1,2,Mid-Range Phone
4,3848,64,13,8,6.1,1.4,60,0,2,Budget Phone
12,4540,128,98,26,6.5,2.6,120,1,2,Premium Phone
10,5078,128,48,21,6.7,3.2,120,1,2,Premium Phone
8,4176,128,47,11,6.1,2.3,60,0,2,Mid-Range Phone
4,4941,128,19,13,6.5,2.6,60,1,1,Mid-Range Phone
11,5214,256,104,23,6.8,3.2,90,1,3,Premium Phone
3,3919,64,16,5,5.8,1.5,60,0,2,Budget Phone
7,4546,128,51,9,6.2,2.5,60,1,2,Mid-Range Phone
8,4679,256,63,32,6.6,2.8,90,1,2,Premium Phone
6,5188,128,58,9,6.3,2.6,60,1,2,Mid-Range Phone
12,5318,256,52,27,6.7,2.7,120,1,3,Premium Phone
5,5045,64,52,14,6.4,2.0,90,1,1,Mid-Range Phone
5,4018,128,44,8,6.4,2.3,60,0,2,Mid-Range Phone
